,stop_lost,complex_substitution,miRNA,5_prime_UTR_variant,scaRNA,3_prime_UTR_variant,NMD_transcript_variant,polymorphic_pseudogene,snRNA,transcript_ablation,stop_gained,inframe_deletion,intron_variant,2kb_downstream_variant,start_retained_variant,lnc_RNA,rRNA,NSD_transcript,misc_RNA,ribozyme,frameshift_truncation,2kb_upstream_variant,exon_loss_variant,inframe_insertion,missense_variant,stop_retained_variant,synonymous_variant,processed_transcript,frameshift_elongation,splice_site_variant,snoRNA,start_lost
Mutation_Taster,0.14,0.04,0.66,0.63,,0.71,0.68,0.30,0.80,,0.01,0.54,0.72,0.68,,0.60,,0.40,0.76,0.43,0.00,0.73,,0.74,0.58,0.97,1.00,0.69,0.00,0.01,0.65,0.05
Provean,0.14,0.04,0.66,0.64,,0.71,0.68,0.31,0.80,,0.01,0.54,0.72,0.68,,0.60,,0.40,0.76,0.43,0.00,0.73,,0.74,0.73,0.97,1.00,0.69,0.00,0.01,0.65,0.05
PHDSNPG,0.13,0.04,0.64,0.62,,0.69,0.66,0.31,0.82,,0.00,0.54,0.71,0.66,,0.56,,0.38,0.75,0.42,0.00,0.72,,0.74,0.51,0.97,1.00,0.67,0.00,0.01,0.62,0.04
Revel,0.14,0.04,0.66,0.63,,0.71,0.68,0.30,0.80,,0.01,0.54,0.72,0.68,,0.60,,0.40,0.76,0.43,0.00,0.73,,0.74,0.56,0.97,1.00,0.69,0.00,0.01,0.65,0.05
SIFT,0.14,0.04,0.66,0.64,,0.71,0.68,0.34,0.80,,0.01,0.54,0.72,0.68,,0.60,,0.40,0.76,0.43,0.00,0.73,,0.74,0.65,0.97,1.00,0.69,0.00,0.01,0.65,0.07
VEST,0.20,0.04,0.66,0.63,,0.71,0.68,0.30,0.80,,0.01,0.54,0.72,0.68,,0.60,,0.40,0.76,0.43,0.00,0.73,,0.74,0.50,0.97,1.00,0.69,0.00,0.01,0.65,0.04
dbSCSNV_ADA,0.14,0.04,0.64,0.63,,0.71,0.66,0.30,0.80,,0.01,0.54,0.69,0.67,,0.59,,0.39,0.75,0.43,0.00,0.73,,0.74,0.59,0.97,1.00,0.68,0.00,0.01,0.64,0.05
dbSCSNV_RF,0.14,0.04,0.64,0.63,,0.71,0.66,0.30,0.80,,0.01,0.54,0.69,0.67,,0.59,,0.39,0.75,0.43,0.00,0.73,,0.74,0.59,0.97,1.00,0.68,0.00,0.01,0.64,0.05
varity_r,0.14,0.04,0.66,0.63,,0.70,0.67,0.30,0.79,,0.01,0.54,0.72,0.67,,0.60,,0.40,0.75,0.43,0.00,0.72,,0.74,0.55,0.97,1.00,0.68,0.00,0.01,0.65,0.04
varity_er,0.14,0.04,0.66,0.63,,0.70,0.67,0.30,0.79,,0.01,0.54,0.72,0.67,,0.60,,0.40,0.76,0.43,0.00,0.72,,0.74,0.56,0.97,1.00,0.68,0.00,0.01,0.65,0.04
DITTO,0.21,0.22,1.00,0.98,,0.99,0.99,0.93,1.00,,0.45,0.85,0.99,0.99,,0.98,,0.96,0.99,0.77,0.57,0.99,,0.91,0.98,0.97,1.00,0.99,0.46,0.23,0.98,0.45
